from_catalog,to_catalog,courses_added,courses_removed,course_churn,net_course_change,title_changes,title_truncations,cu_changes,programs_added,programs_removed,program_churn,net_program_change,version_changes,affected_colleges,affected_college_count,severity_score,notes
2017-01,2017-03,7,13,20,-6,14,0,0,0,1,1,-1,13,Business | Education | Health | Technology,4,112,
2017-03,2017-05,0,0,0,0,0,0,0,0,0,0,0,1,Business,1,3,
2017-05,2017-07,101,74,175,27,0,0,1,1,6,7,-5,22,Education | Technology,2,318,
2017-07,2017-08,1,1,2,0,0,0,1,0,0,0,0,0,Education,1,4,
2017-08,2017-09,4,0,4,4,0,0,0,1,1,2,0,2,Business | Technology,2,35,
2017-09,2017-10,9,6,15,3,1,0,0,1,1,2,0,4,Business | Technology,2,54,
2017-10,2017-11,1,2,3,-1,1,0,1,0,0,0,0,4,Business | Technology,2,24,
2017-11,2017-12,2,0,2,2,0,0,0,0,0,0,0,1,Business,1,5,
2017-12,2018-01,0,2,2,-2,0,0,0,0,1,1,-1,2,Business | Education,2,23,
2018-01,2018-02,2,2,4,0,0,0,0,0,0,0,0,1,Technology,1,7,
2018-02,2018-03,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2018-03,2018-04,7,5,12,2,0,0,0,0,0,0,0,2,Health,1,18,
2018-04,2018-05,40,21,61,19,0,0,0,12,11,23,1,0,Education | Health | Technology,3,301,
2018-05,2018-06,3,1,4,2,0,0,0,6,6,12,0,0,Education,1,124,
2018-06,2018-07,9,2,11,7,0,0,0,2,2,4,0,1,Education | Technology,2,59,
2018-07,2018-08,2,5,7,-3,0,0,0,0,0,0,0,5,Business | Technology,2,27,
2018-08,2018-09,4,2,6,2,0,0,0,4,4,8,0,0,Education,1,86,
2018-09,2018-10,16,1,17,15,0,0,0,1,0,1,1,0,Education | Technology,2,32,
2018-10,2018-11,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2018-11,2018-12,6,5,11,1,0,0,0,0,0,0,0,9,Business | Health | Technology,3,48,
2018-12,2019-01,5,6,11,-1,0,0,0,0,0,0,0,1,Technology,1,14,
2019-01,2019-02,1,1,2,0,0,0,0,0,0,0,0,1,Health,1,5,
2019-02,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2019-03,2019-04,13,7,20,6,0,0,0,1,1,2,0,1,Education,1,43,
2019-04,2019-05,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2019-05,2019-06,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2019-06,2019-07,0,0,0,0,1,0,0,0,0,0,0,0,Education,1,2,
2019-07,2019-08,5,14,19,-9,0,0,0,0,1,1,-1,1,Education | Technology,2,37,
2019-08,2019-09,26,0,26,26,0,0,0,1,0,1,1,0,Health,1,36,
2019-09,2019-10,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2019-10,2019-11,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2019-11,2019-12,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2019-12,2020-01,1,4,5,-3,0,0,0,0,0,0,0,1,Technology,1,8,
2020-01,2020-02,21,20,41,1,0,0,0,7,6,13,1,0,Business,1,171,
2020-02,2020-03,9,0,9,9,0,0,0,0,0,0,0,3,Health,1,18,
2020-03,2020-04,0,0,0,0,0,0,0,1,1,2,0,0,Technology,1,20,
2020-04,2020-05,0,0,0,0,0,0,0,0,0,0,0,1,Business,1,3,
2020-05,2020-06,0,5,5,-5,0,0,0,1,2,3,-1,0,Business | Education,2,40,
2020-06,2020-07,54,65,119,-11,0,0,0,0,0,0,0,18,Business | Education | Health,3,183,
2020-07,2020-08,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2020-08,2020-09,6,8,14,-2,0,0,1,0,0,0,0,10,Business | Health,2,51,
2020-09,2020-10,39,30,69,9,0,0,0,0,0,0,0,9,Business | Education | Health | Technology,4,111,
2020-10,2020-11,44,9,53,35,0,0,1,2,2,4,0,8,Business | Education | Health | Technology,4,134,
2020-11,2020-12,9,34,43,-25,0,0,0,2,1,3,1,8,Business | Education | Health | Technology,4,112,
2020-12,2021-01,3,3,6,0,0,0,0,0,0,0,0,1,Business,1,9,
2021-01,2021-02,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2021-02,2021-03,16,0,16,16,0,0,0,1,0,1,1,0,Education,1,26,
2021-03,2021-04,0,0,0,0,0,0,0,0,0,0,0,1,Health,1,3,
2021-04,2021-05,0,0,0,0,0,0,0,0,0,0,0,1,Health,1,3,
2021-05,2021-06,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2021-06,2021-07,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2021-07,2021-08,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2021-08,2021-09,13,5,18,8,0,0,0,0,2,2,-2,7,Business | Education | Health,3,69,
2021-09,2021-10,2,1,3,1,0,0,1,0,0,0,0,1,Technology,1,8,
2021-10,2021-11,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2021-11,2021-12,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2021-12,2022-01,21,8,29,13,0,0,0,2,0,2,2,4,Business | Health,2,66,
2022-01,2022-02,2,2,4,0,0,0,0,0,0,0,0,6,Business,1,22,
2022-02,2022-03,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2022-03,2022-04,8,0,8,8,0,0,0,1,0,1,1,0,Health,1,18,
2022-04,2022-05,30,7,37,23,0,0,0,1,1,2,0,0,Technology,1,57,
2022-05,2022-06,19,2,21,17,0,0,0,3,0,3,3,2,Education | Technology,2,62,
2022-06,2022-07,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2022-07,2022-08,13,4,17,9,0,0,0,2,1,3,1,0,Technology,1,47,
2022-08,2022-09,0,0,0,0,1,0,0,0,0,0,0,0,Health,1,2,
2022-09,2022-10,0,0,0,0,1,0,0,1,0,1,1,0,Health | Technology,2,17,
2022-10,2022-11,0,13,13,-13,0,0,0,0,2,2,-2,0,Education,1,33,
2022-11,2022-12,34,26,60,8,0,0,0,2,1,3,1,0,Business | Health,2,95,
2022-12,2023-01,45,35,80,10,2,0,0,6,3,9,3,0,Business | Health | Technology,3,184,
2023-01,2023-02,12,8,20,4,2,2,0,0,0,0,0,2,Business | Health | Technology,3,40,
2023-02,2023-03,0,0,0,0,1,1,0,0,0,0,0,0,Technology,1,2,
2023-03,2023-04,23,12,35,11,1,0,2,2,1,3,1,0,Business | Health,2,76,
2023-04,2023-05,10,14,24,-4,0,0,2,2,0,2,2,2,Health | Technology,2,59,
2023-05,2023-06,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2023-06,2023-07,0,1,1,-1,0,0,0,0,0,0,0,3,Education,1,10,
2023-07,2023-08,18,25,43,-7,0,0,0,3,2,5,1,1,Business | Health | Technology,3,106,
2023-08,2023-09,0,2,2,-2,0,0,0,2,0,2,2,2,Business | Technology,2,33,
2023-09,2023-10,0,0,0,0,1,0,0,0,0,0,0,0,Business,1,2,
2023-10,2023-11,0,0,0,0,0,0,0,3,0,3,3,0,Education,1,30,
2023-11,2023-12,12,41,53,-29,0,0,0,1,0,1,1,16,Education | Technology,2,116,
2023-12,2024-01,14,1,15,13,0,0,0,0,0,0,0,2,Business | Health | Technology,3,31,
2024-01,2024-02,24,0,24,24,0,0,0,2,0,2,2,2,Health | Technology,2,55,
2024-02,2024-03,5,5,10,0,1,0,0,0,0,0,0,2,Education | Health,2,23,
2024-03,2024-04,3,1,4,2,2,0,0,1,0,1,1,5,Education | Health | Technology,3,43,
2024-04,2024-05,0,0,0,0,1,0,0,0,0,0,0,0,Education,1,2,
2024-05,2024-06,37,20,57,17,0,0,0,4,1,5,3,1,Business | Health | Technology,3,120,
2024-06,2024-07,12,0,12,12,0,0,0,1,0,1,1,0,Health,1,22,
2024-07,2024-08,21,0,21,21,1,141,0,4,0,4,4,1,Business | Education | Health | Technology,4,81,
2024-08,2024-09,57,34,91,23,0,0,0,9,4,13,5,3,Business | Education | Technology,3,240,cert_section_added
2024-09,2024-10,46,55,101,-9,0,0,0,4,1,5,3,7,Business | Education | Health | Technology,4,187,
2024-10,2024-11,0,0,0,0,0,0,0,1,1,2,0,0,Business,1,20,
2024-11,2024-12,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2024-12,2025-01,7,1,8,6,0,0,0,4,4,8,0,0,Business | Education,2,93,
2025-01,2025-02,110,48,158,62,0,0,0,13,1,14,12,13,Education | Health | Technology,3,347,
2025-02,2025-03,0,53,53,-53,0,0,0,0,5,5,-5,0,Education,1,103,
2025-03,2025-04,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2025-04,2025-05,0,0,0,0,0,0,0,1,1,2,0,0,Business,1,20,
2025-05,2025-06,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2025-06,2025-07,12,4,16,8,0,0,0,7,0,7,7,1,Education | Technology,2,94,
2025-07,2025-08,11,9,20,2,0,0,0,4,5,9,-1,2,Business | Technology,2,121,
2025-08,2025-09,0,0,0,0,0,0,0,0,0,0,0,2,Business,1,6,
2025-09,2025-10,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2025-10,2025-11,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2025-11,2025-12,10,12,22,-2,0,0,0,0,0,0,0,1,Health,1,25,
2025-12,2026-01,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2026-01,2026-02,20,19,39,1,0,0,0,3,3,6,0,1,Education | Technology,2,107,
2026-02,2026-03,0,1,1,-1,0,0,0,0,0,0,0,18,Business | Education,2,60,
