boundary_index,start_edition,end_edition,programs_removed_count,programs_added_count,programs_removed,programs_added,removed_titles,added_titles,removed_colleges,added_colleges,removed_cus_values,added_cus_values,total_program_churn,net_program_delta,has_churn
1,2017-01,2017-03,1,0,MSRNNUNIGR,,"MSRNNUNIGR: Master of Science, Nursing - Nursing Informatics",,College of Health Professions,,150,,1,-1,yes
2,2017-03,2017-05,0,0,,,,,,,,,0,0,no
3,2017-05,2017-07,6,1,MATSC9 | MATSS12 | PBMA12 | PBMA9 | PBSC9 | PBSS12,BSCSIA,"MATSC9: Master of Arts in Teaching, Science (5-9) | MATSS12: Master of Arts in Teaching, Social Science (5-12) | PBMA12: Post-baccalaureate Teacher Preparation, Mathematics (5-12) | PBMA9: Post-baccalaureate Teacher Preparation, Mathematics (5-9) | PBSC9: Post-baccalaureate Teacher Preparation, Science (5-9) | PBSS12: Post-baccalaureate Teacher Preparation, Social Science (5-12)","BSCSIA: Bachelor of Science, Cybersecurity and Information Assurance",Teachers College,College of Information Technology | School of Technology,27 | 31,122,7,-5,yes
4,2017-07,2017-08,0,0,,,,,,,,,0,0,no
5,2017-08,2017-09,1,1,BSITSEC,BSNOS,"BSITSEC: Bachelor of Science, IT - Security Emphasis","BSNOS: Bachelor of Science, Network Operations and Security",College of Information Technology,College of Information Technology,123,120 | 122 | 123,2,0,yes
6,2017-09,2017-10,1,1,BSITNW,BSCLSA,"BSITNW: Bachelor of Science, IT - Networks Administration Emphasis","BSCLSA: Bachelor of Science, Cloud and Systems Administration",College of Information Technology,College of Information Technology,122,122 | 123,2,0,yes
7,2017-10,2017-11,0,0,,,,,,,,,0,0,no
8,2017-11,2017-12,0,0,,,,,,,,,0,0,no
9,2017-12,2018-01,1,0,PBSC12,,"PBSC12: Post-baccalaureate Teacher Preparation, Science (5-12)",,Teachers College,,27 | 40,,1,-1,yes
10,2018-01,2018-02,0,0,,,,,,,,,0,0,no
11,2018-02,2018-03,0,0,,,,,,,,,0,0,no
12,2018-03,2018-04,0,0,,,,,,,,,0,0,no
13,2018-04,2018-05,11,12,BASC9 | BASCB12 | BASCCH12 | BASCG12 | BASCPH12 | MASE9 | MASEB12 | MASECH12 | MASEG12 | MASEPH12 | MSIHCM,BSCS | BSSEMG | BSSESB | BSSESC | BSSESE | BSSESP | MASEMG | MASESB | MASESC | MASESE | MASESP | MHL,"BASC9: Bachelor of Arts, Science (5-9) | BASCB12: Bachelor of Arts, Science (5-12, Bio) | BASCCH12: Bachelor of Arts, Science (5-12, Chemistry) | BASCG12: Bachelor of Arts, Science (5-12, Geo) | BASCPH12: Bachelor of Arts, Science (5-12, Physics) | MASE9: Master of Arts, Science Education (5-9) | MASEB12: Master of Arts, Science Education (5-12, Bio) | MASECH12: Master of Arts, Science Education (5-12, Chemistry) | MASEG12: Master of Arts, Science Education (5-12, Geo) | MASEPH12: Master of Arts, Science Education (5-12, Physics) | MSIHCM: Master of Science, Integrated Healthcare Management","BSCS: Bachelor of Science, Computer Science | BSSEMG: Bachelor of Science, Science Education (Middle Grades) | BSSESB: Bachelor of Science, Science Education (Secondary Biological Science) | BSSESC: Bachelor of Science, Science Education (Secondary Chemistry) | BSSESE: Bachelor of Science, Science Education (Secondary Earth Science) | BSSESP: Bachelor of Science, Science Education (Secondary Physics) | MASEMG: Master of Arts Science Education (Middle Grades) | MASESB: Master of Arts Science Education (Secondary Biological Science) | MASESC: Master of Arts Science Education (Secondary Chemistry) | MASESE: Master of Arts Science Education (Secondary Earth Science) | MASESP: Master of Arts Science Education (Secondary Physics) | MHL: Master of Health Leadership",College of Business | College of Health Professions | Teachers College,College of Health Professions | College of Information Technology | Leavitt School of Health | School of Education | School of Technology | Teachers College,31 | 32 | 33 | 34 | 35 | 121 | 122 | 123 | 124 | 125 | 127,32 | 33 | 34 | 117 | 120 | 122 | 123 | 124 | 129 | 131,23,1,yes
14,2018-05,2018-06,6,6,MATELK8 | MATENG12 | MATMA12 | MATMA9 | MATSC12 | PBELK8,MATEES | MATELED | MATMEMG | MATMES | MATSES | PBELED,"MATELK8: Master of Arts in Teaching, Elementary Education (K-8) | MATENG12: Master of Arts in Teaching, English Education (5-12) | MATMA12: Master of Arts in Teaching, Mathematics (5-12) | MATMA9: Master of Arts in Teaching, Mathematics (5-9) | MATSC12: Master of Arts in Teaching, Science (5-12) | PBELK8: Post-baccalaureate Teacher Preparation, Elementary Education (K-8)","MATEES: Master of Arts in Teaching, English Education (Secondary) | MATELED: Master of Arts in Teaching, Elementary Education | MATMEMG: Master of Arts in Teaching, Mathematics Education (Middle Grades) | MATMES: Master of Arts in Teaching, Mathematics Education (Secondary) | MATSES: Master of Arts in Teaching, Science Education (Secondary) | PBELED: Post-baccalaureate, Elementary Education",Teachers College,School of Education | Teachers College,31 | 32 | 37 | 40 | 41 | 42 | 43 | 46 | 47 | 48,37 | 38 | 39 | 40 | 41 | 42 | 43 | 44 | 45 | 46 | 47 | 48 | 49 | 59,12,0,yes
15,2018-06,2018-07,1,2,BAISK8,BAELED | BSITSWC,"BAISK8: Bachelor of Arts, Interdisciplinary Studies (K-8)","BAELED: Bachelor of Arts, Elementary Education | BSITSWC: Bachelor of Science, Software Development",Teachers College,College of Information Technology | School of Education | Teachers College,120 | 123 | 126,119 | 120 | 122,3,1,yes
16,2018-07,2018-08,0,0,,,,,,,,,0,0,no
17,2018-08,2018-09,4,4,BAMA12 | BAMA9 | MAME12 | MAME9,BSMEMG | BSMES | MAMEMG | MAMES,"BAMA12: Bachelor of Arts, Mathematics (5-12) | BAMA9: Bachelor of Arts, Mathematics (5-9) | MAME12: Master of Arts, Mathematics Education (5-12) | MAME9: Master of Arts, Mathematics Education (5-9)","BSMEMG: Bachelor of Science, Mathematics Education (Middle Grades) | BSMES: Bachelor of Science, Mathematics Education (Secondary) | MAMEMG: Master of Arts in Mathematics Education (Middle Grades) | MAMES: Master of Arts in Mathematics Education (Secondary)",Teachers College,School of Education | Teachers College,30 | 32 | 39 | 120 | 122 | 138,32 | 39 | 122 | 129 | 138,8,0,yes
18,2018-09,2018-10,0,1,,BASPMM,,"BASPMM: Bachelor of Arts, Special Education Mild to Moderate",,School of Education | Teachers College,,121 | 124 | 125,1,1,yes
19,2018-10,2018-11,0,0,,,,,,,,,0,0,no
20,2018-11,2018-12,0,0,,,,,,,,,0,0,no
21,2018-12,2019-01,0,0,,,,,,,,,0,0,no
22,2019-01,2019-02,0,0,,,,,,,,,0,0,no
23,2019-02,2019-03,0,0,,,,,,,,,0,0,no
24,2019-03,2019-04,1,1,BASP,BASPEE,"BASP: Bachelor of Arts, Special Education","BASPEE: Bachelor of Arts, Special Education and Elementary Education (Dual Licensure)",Teachers College,School of Education | Teachers College,135 | 138 | 141,136 | 137 | 140 | 146,2,0,yes
25,2019-04,2019-05,0,0,,,,,,,,,0,0,no
26,2019-05,2019-06,0,0,,,,,,,,,0,0,no
27,2019-06,2019-07,0,0,,,,,,,,,0,0,no
28,2019-07,2019-08,1,0,ENDEDL,,"ENDEDL: Endorsement Preparation Program, Educational Leadership",,Teachers College,,37,,1,-1,yes
29,2019-08,2019-09,0,1,,BSHSC,,"BSHSC: Bachelor of Science, Health Services Coordination",,College of Health Professions,,112,1,1,yes
30,2019-09,2019-10,0,0,,,,,,,,,0,0,no
31,2019-10,2019-11,0,0,,,,,,,,,0,0,no
32,2019-11,2019-12,0,0,,,,,,,,,0,0,no
33,2019-12,2020-01,0,0,,,,,,,,,0,0,no
34,2020-01,2020-02,6,7,BSAC | BSBUHCM | BSBUHR | BSBUITM | BSMG | BSMK,BSBAAC | BSBAHC | BSBAHR | BSBAIT | BSBAMGA | BSBAMGB | BSBAMK,"BSAC: Bachelor of Science, Accounting | BSBUHCM: Bachelor of Science, Business - Healthcare Management | BSBUHR: Bachelor of Science, Business - Human Resource Management | BSBUITM: Bachelor of Science, Business - Information Technology Management | BSMG: Bachelor of Science, Business Management | BSMK: Bachelor of Science, Marketing Management",BSBAAC: Bachelor of Science Business Administration Accounting | BSBAHC: Bachelor of Science Business Administration Healthcare Management | BSBAHR: Bachelor of Science Business Administration Human Resource Management | BSBAIT: Bachelor of Science Business Administration Information Technology Management | BSBAMGA: Bachelor of Science Business Administration Management | BSBAMGB: Bachelor of Science Business Administration Management | BSBAMK: Bachelor of Science Business Administration Marketing,College of Business,College of Business | School of Business,120 | 121 | 122 | 124,118 | 120 | 121 | 122 | 123,13,1,yes
35,2020-02,2020-03,0,0,,,,,,,,,0,0,no
36,2020-03,2020-04,1,1,BSCLSA,BSCC,"BSCLSA: Bachelor of Science, Cloud and Systems Administration","BSCC: Bachelor of Science, Cloud Computing",College of Information Technology,College of Information Technology,122 | 123,123,2,0,yes
37,2020-04,2020-05,0,0,,,,,,,,,0,0,no
38,2020-05,2020-06,2,1,MSSP | PBELED,BSBAMGC,"MSSP: Master of Science, Special Education | PBELED: Post-baccalaureate, Elementary Education","BSBAMGC: Bachelor of Science Business Administration, Management",Teachers College,College of Business | School of Business,31 | 47,120 | 122,3,-1,yes
39,2020-06,2020-07,0,0,,,,,,,,,0,0,no
40,2020-07,2020-08,0,0,,,,,,,,,0,0,no
41,2020-08,2020-09,0,0,,,,,,,,,0,0,no
42,2020-09,2020-10,0,0,,,,,,,,,0,0,no
43,2020-10,2020-11,0,2,,MATSPED | MSNUFNP,,"MATSPED: Master of Arts in Teaching, Special Education | MSNUFNP: Master of Science, Nursing - Family Nurse Practitioner (BSN to MSN)",,College of Health Professions | Leavitt School of Health | School of Education | Teachers College,,48 | 52 | 53 | 64,2,2,yes
44,2020-11,2020-12,0,0,,,,,,,,,0,0,no
45,2020-12,2021-01,0,0,,,,,,,,,0,0,no
46,2021-01,2021-02,0,0,,,,,,,,,0,0,no
47,2021-02,2021-03,0,0,,,,,,,,,0,0,no
48,2021-03,2021-04,0,0,,,,,,,,,0,0,no
49,2021-04,2021-05,0,0,,,,,,,,,0,0,no
50,2021-05,2021-06,0,0,,,,,,,,,0,0,no
51,2021-06,2021-07,0,0,,,,,,,,,0,0,no
52,2021-07,2021-08,0,0,,,,,,,,,0,0,no
53,2021-08,2021-09,2,0,BSBAMGA | BSBAMGB,,BSBAMGA: Bachelor of Science Business Administration Management | BSBAMGB: Bachelor of Science Business Administration Management,,College of Business,,123,,2,-2,yes
54,2021-09,2021-10,0,0,,,,,,,,,0,0,no
55,2021-10,2021-11,0,0,,,,,,,,,0,0,no
56,2021-11,2021-12,0,0,,,,,,,,,0,0,no
57,2021-12,2022-01,0,2,,PMCNUED | PMCNULM,,"PMCNUED: Post-Master's Certificate, Nursing - Nursing Education (Post-MSN) | PMCNULM: Post-Master's Certificate, Nursing - Leadership and Management (Post-MSN)",,College of Health Professions | Leavitt School of Health,,16,2,2,yes
58,2022-01,2022-02,0,0,,,,,,,,,0,0,no
59,2022-02,2022-03,0,0,,,,,,,,,0,0,no
60,2022-03,2022-04,0,1,,MSNUPMHNP,,"MSNUPMHNP: Master of Science, Nursing - Psychiatric Mental Health Nurse Practitioner",,College of Health Professions | Leavitt School of Health,,51,1,1,yes
61,2022-04,2022-05,1,1,BSCC,BSCCMCL,"BSCC: Bachelor of Science, Cloud Computing","BSCCMCL: Bachelor of Science, Cloud Computing",College of Information Technology,College of Information Technology | School of Technology,123,120 | 121,2,0,yes
62,2022-05,2022-06,0,2,,BSCCAWS | BSCCAZR,,"BSCCAWS: Bachelor of Science, Cloud Computing - Amazon Web Services track | BSCCAZR: Bachelor of Science, Cloud Computing - Microsoft Azure track",,College of Information Technology | School of Technology,,121,2,2,yes
63,2022-06,2022-07,0,0,,,,,,,,,0,0,no
64,2022-07,2022-08,1,2,BSNOS,BSNES | BSNES_C,"BSNOS: Bachelor of Science, Network Operations and Security","BSNES: Bachelor of Science, Network Engineering and Security | BSNES_C: Bachelor of Science, Network Engineering and Security Cisco Track",College of Information Technology,College of Information Technology | School of Technology,120 | 122 | 123,111,3,1,yes
65,2022-08,2022-09,0,0,,,,,,,,,0,0,no
66,2022-09,2022-10,0,1,,MSITMUG,,"MSITMUG: Bachelor of Science, Information Technology (BSIT to MSITM)",,College of Information Technology | School of Technology,,17 | 122,1,1,yes
67,2022-10,2022-11,2,0,MEDID | MEDLT,,"MEDID: Master of Education, Instructional Design | MEDLT: Master of Education, Learning and Technology",,Teachers College,,30,,2,-2,yes
68,2022-11,2022-12,1,2,BSHSC,BSHHS | MSMK,"BSHSC: Bachelor of Science, Health Services Coordination","BSHHS: Bachelor of Science, Health and Human Services | MSMK: Master of Science in Marketing, Digital Marketing Specialization",College of Health Professions,College of Business | College of Health Professions | Leavitt School of Health | School of Business,112,33 | 110 | 111,3,1,yes
69,2022-12,2023-01,3,6,BSITSW | BSITSWC | BSRN,BSFIN | BSNPLTR | BSPNTR | BSSWE | BSSWE_C | MSMKA,"BSITSW: Bachelor of Science, Software Development | BSITSWC: Bachelor of Science, Software Development | BSRN: Bachelor of Science, Nursing","BSFIN: Bachelor of Science, Finance | BSNPLTR: Bachelor of Science, Nursing - Prelicensure (Nursing) | BSPNTR: Bachelor of Science, Nursing - Prelicensure (Pre-Nursing) | BSSWE: Bachelor of Science, Software Engineering | BSSWE_C: Bachelor of Science, Software Engineering | MSMKA: Master of Science in Marketing, Marketing Analytics Specialization",College of Health Professions | College of Information Technology,College of Business | College of Information Technology | Leavitt School of Health | School of Business | School of Technology,120 | 121 | 122,34 | 59 | 61 | 119 | 120,9,3,yes
70,2023-01,2023-02,0,0,,,,,,,,,0,0,no
71,2023-02,2023-03,0,0,,,,,,,,,0,0,no
72,2023-03,2023-04,1,2,MHL,BSSCOM | MHA,MHL: Master of Health Leadership,BSSCOM: Bachelor of Science Supply Chain and Operations Management | MHA: Master of Healthcare Administration,College of Health Professions | Leavitt School of Health,College of Business | Leavitt School of Health | School of Business,34,31 | 34 | 110,3,1,yes
73,2023-04,2023-05,0,2,,PMCNUFNP | PMCNUPMHNP,,"PMCNUFNP: Post-Master's Certificate, Nursing - Family Nurse Practitioner (Post-MSN) | PMCNUPMHNP: Post-Master's Certificate, Nursing - Psychiatric Mental Health Nurse Practitioner (Post-MSN)",,Leavitt School of Health,,33 | 36,2,2,yes
74,2023-05,2023-06,0,0,,,,,,,,,0,0,no
75,2023-06,2023-07,0,0,,,,,,,,,0,0,no
76,2023-07,2023-08,2,3,BSBAHC | BSDMDA,BSDA | BSHA | MSHRM,"BSBAHC: Bachelor of Science Business Administration Healthcare Management | BSDMDA: Bachelor of Science, Data Management/Data Analytics","BSDA: Bachelor of Science, Data Analytics | BSHA: Bachelor of Science, Healthcare Administration | MSHRM: Master of Science, Human Resource Management",College of Business | College of Information Technology,College of Business | College of Information Technology | School of Business | School of Technology,120 | 121 | 122,30 | 110 | 120 | 122,5,1,yes
77,2023-08,2023-09,0,2,,CFSEWADS | CLD,,CFSEWADS: Certificate: Web Application Deployment and Support | CLD: Certificate: Leadership,,College of Business | College of Information Technology | School of Business | School of Technology,,9 | 12,2,2,yes
78,2023-09,2023-10,0,0,,,,,,,,,0,0,no
79,2023-10,2023-11,0,3,,MEDETID | MEDETIDA | MEDETIDK12,,"MEDETID: Master of Education, Education Technology and Instructional Design | MEDETIDA: Master of Education, Education Technology and Instructional Design | MEDETIDK12: Master of Education, Education Technology and Instructional Design",,School of Education,,32 | 38,3,3,yes
80,2023-11,2023-12,0,1,,CFSEFE,,CFSEFE: Certificate: Front End Web Development,,College of Information Technology | School of Technology,,16,1,1,yes
81,2023-12,2024-01,0,0,,,,,,,,,0,0,no
82,2024-01,2024-02,0,2,,BSPSY | CFSEBE,,BSPSY: Bachelor of Science in Psychology | CFSEBE: Certificate: Back End Web Development,,College of Information Technology | Leavitt School of Health | School of Technology,,16 | 106,2,2,yes
83,2024-02,2024-03,0,0,,,,,,,,,0,0,no
84,2024-03,2024-04,0,1,,BSHS,,"BSHS: Bachelor of Science, Health Science",,Leavitt School of Health,,91,1,1,yes
85,2024-04,2024-05,0,0,,,,,,,,,0,0,no
86,2024-05,2024-06,1,4,MSDA,MPH | MSDADE | MSDADPE | MSDADS,"MSDA: Master of Science, Data Analytics","MPH: Master of Public Health | MSDADE: Master of Science, Data Analytics - Data Engineering | MSDADPE: Master of Science, Data Analytics - Decision Process Engineering | MSDADS: Master of Science, Data Analytics - Data Science",College of Information Technology | School of Technology,Leavitt School of Health | School of Technology,31 | 32,32 | 33 | 36,5,3,yes
87,2024-06,2024-07,0,1,,BSPH,,"BSPH: Bachelor of Science, Public Health",,Leavitt School of Health,,104,1,1,yes
88,2024-07,2024-08,0,4,,BAESELED | BSC | BSUXD | MSRNNUNIFGR,,"BAESELED: Bachelor of Arts, Educational Studies in Elementary Education | BSC: Bachelor of Science, Communications | BSUXD: Bachelor of Science, User Experience Design | MSRNNUNIFGR: Master of Science, Nursing - Nursing Informatics (RN to MSN)",,Leavitt School of Health | School of Business | School of Education,,96 | 98 | 115 | 141,4,4,yes
89,2024-08,2024-09,4,9,CFSEBE | CFSEFE | CFSEWADS | CLD,BAESMEMG | BAESMES | BAESSEMG | BAESSESB | BAESSESC | BAESSESE | BAESSESP | BAESSPEE | BAESSPMM,CFSEBE: Certificate: Back End Web Development | CFSEFE: Certificate: Front End Web Development | CFSEWADS: Certificate: Web Application Deployment and Support | CLD: Certificate: Leadership,"BAESMEMG: Bachelor of Arts, Educational Studies in Middle Grades Mathematics Education | BAESMES: Bachelor of Arts, Educational Studies in Secondary Mathematics Education | BAESSEMG: Bachelor of Arts, Educational Studies in Middle Grades Science Education | BAESSESB: Bachelor of Arts, Educational Studies in Secondary Biological Science Education | BAESSESC: Bachelor of Arts, Educational Studies in Secondary Chemistry Science Education | BAESSESE: Bachelor of Arts, Educational Studies in Secondary Earth Science Education | BAESSESP: Bachelor of Arts, Educational Studies in Secondary Physics Science Education | BAESSPEE: Bachelor of Arts, Educational Studies in Special and Elementary Education | BAESSPMM: Bachelor of Arts, Educational Studies in Mild to Moderate Exceptionalities Special Education",College of Business | College of Information Technology | School of Business | School of Technology,School of Education,9 | 12 | 16,97 | 98 | 99 | 102 | 103 | 104 | 106 | 107 | 113 | 124,13,5,yes
90,2024-09,2024-10,1,4,MACC,MACCA | MACCF | MACCM | MACCT,"MACC: Master of Science, Accounting","MACCA: Master of Science in Accounting, Auditing Specialization | MACCF: Master of Science in Accounting, Financial Reporting Specialization | MACCM: Master of Science in Accounting, Management Accounting Specialization | MACCT: Master of Science in Accounting, Taxation Specialization",College of Business | School of Business,School of Business,30,30 | 33,5,3,yes
91,2024-10,2024-11,1,1,BSBAMK,BSMKT,BSBAMK: Bachelor of Science Business Administration Marketing,"BSMKT: Bachelor of Science, Marketing",College of Business | School of Business,School of Business,118 | 121 | 122,112,2,0,yes
92,2024-11,2024-12,0,0,,,,,,,,,0,0,no
93,2024-12,2025-01,4,4,BSBAAC | BSBAHR | BSBAIT | BSBAMGC,BSACC | BSHR | BSITM | BSMGT,"BSBAAC: Bachelor of Science Business Administration Accounting | BSBAHR: Bachelor of Science Business Administration Human Resource Management | BSBAIT: Bachelor of Science Business Administration Information Technology Management | BSBAMGC: Bachelor of Science Business Administration, Management","BSACC: Bachelor of Science, Accounting | BSHR: Bachelor of Science, Human Resource Management | BSITM: Bachelor of Science, Information Technology Management | BSMGT: Bachelor of Science, Business Management",College of Business | School of Business,School of Business,120 | 121 | 122,110 | 111 | 117 | 120 | 121,8,0,yes
94,2025-01,2025-02,1,13,MATSES,MATSESB | MATSESC | MATSESE | MATSESP | MATSSES | MSCSAIML | MSCSCS | MSCSHCI | MSCSUG | MSSWEAIE | MSSWEDDD | MSSWEDOE | MSSWEUG,"MATSES: Master of Arts in Teaching, Science Education (Secondary)","MATSESB: Master of Arts in Teaching, Science Education (Secondary Biology) | MATSESC: Master of Arts in Teaching, Science Education (Secondary Chemistry) | MATSESE: Master of Arts in Teaching, Science Education (Secondary Earth Science) | MATSESP: Master of Arts in Teaching, Science Education (Secondary Physics) | MATSSES: Master of Arts in Teaching, Social Studies Education (Secondary) | MSCSAIML: Master of Science, Computer Science, Artificial Intelligence and Machine Learning | MSCSCS: Master of Science, Computer Science, Computing Systems | MSCSHCI: Master of Science, Computer Science, Human-Computer Interaction | MSCSUG: Bachelor of Science, Computer Science (BSCS to MSCS) | MSSWEAIE: Master of Science, Software Engineering - AI Engineering | MSSWEDDD: Master of Science, Software Engineering - Domain Driven Design | MSSWEDOE: Master of Science, Software Engineering - DevOps Engineering | MSSWEUG: Bachelor of Science, Software Engineering (BSSWE to MSSWE)",School of Education | Teachers College,School of Education | School of Technology,39 | 40 | 41 | 43,30 | 31 | 41 | 42 | 116 | 119,14,12,yes
95,2025-02,2025-03,5,0,BAESMEMG | BAESSEMG | BSMEMG | BSSEMG | MATMEMG,,"BAESMEMG: Bachelor of Arts, Educational Studies in Middle Grades Mathematics Education | BAESSEMG: Bachelor of Arts, Educational Studies in Middle Grades Science Education | BSMEMG: Bachelor of Science, Mathematics Education (Middle Grades) | BSSEMG: Bachelor of Science, Science Education (Middle Grades) | MATMEMG: Master of Arts in Teaching, Mathematics Education (Middle Grades)",,School of Education | Teachers College,,42 | 43 | 44 | 46 | 97 | 99 | 122 | 124,,5,-5,yes
96,2025-03,2025-04,0,0,,,,,,,,,0,0,no
97,2025-04,2025-05,1,1,MBAHM,MBAHA,"MBAHM: MBA, Healthcare Management","MBAHA: Master of Business Administration, Healthcare Administration",College of Business | School of Business,School of Business,36,36,2,0,yes
98,2025-05,2025-06,0,0,,,,,,,,,0,0,no
99,2025-06,2025-07,0,7,,ENDECE | ENDMEMG | ENDSEMG | ENDSESB | ENDSESC | ENDSESE | ENDSESP,,"ENDECE: Endorsement Preparation Program, Early Childhood Education | ENDMEMG: Endorsement Preparation Program, Middle Grades Math | ENDSEMG: Endorsement Preparation Program, Middle Grades Science | ENDSESB: Endorsement Preparation Program, Biology | ENDSESC: Endorsement Preparation Program, Chemistry | ENDSESE: Endorsement Preparation Program, Earth Science | ENDSESP: Endorsement Preparation Program, Physics",,School of Education,,6 | 18 | 23 | 28,7,7,yes
100,2025-07,2025-08,5,4,BSCCAWS | BSCCAZR | BSCCMCL | BSNES | BSNES_C,BSCNE | BSCNEAWS | BSCNEAZR | BSCNECIS,"BSCCAWS: Bachelor of Science, Cloud Computing - Amazon Web Services track | BSCCAZR: Bachelor of Science, Cloud Computing - Microsoft Azure track | BSCCMCL: Bachelor of Science, Cloud Computing | BSNES: Bachelor of Science, Network Engineering and Security | BSNES_C: Bachelor of Science, Network Engineering and Security Cisco Track","BSCNE: Bachelor of Science, Cloud and Network Engineering | BSCNEAWS: Bachelor of Science, Cloud and Network Engineering - Amazon Web Services | BSCNEAZR: Bachelor of Science, Cloud and Network Engineering - Microsoft Azure | BSCNECIS: Bachelor of Science, Cloud and Network Engineering - Cisco",College of Information Technology | School of Technology,School of Technology,111 | 120 | 121,109 | 112,9,-1,yes
101,2025-08,2025-09,0,0,,,,,,,,,0,0,no
102,2025-09,2025-10,0,0,,,,,,,,,0,0,no
103,2025-10,2025-11,0,0,,,,,,,,,0,0,no
104,2025-11,2025-12,0,0,,,,,,,,,0,0,no
105,2025-12,2026-01,0,0,,,,,,,,,0,0,no
106,2026-01,2026-02,3,3,ENDECE | MSITM | MSITMUG,MSIT | MSITPM | MSITUG,"ENDECE: Endorsement Preparation Program, Early Childhood Education | MSITM: Master of Science, Information Technology Management | MSITMUG: Bachelor of Science, Information Technology (BSIT to MSITM)","MSIT: Master of Science, Information Technology | MSITPM: Master of Science, Information Technology - Product Management | MSITUG: Bachelor of Science, Information Technology (BSIT to MSIT)",College of Information Technology | School of Education | School of Technology,School of Technology,17 | 18 | 24 | 30 | 122,30 | 32 | 110,6,0,yes
107,2026-02,2026-03,0,0,,,,,,,,,0,0,no
